timestamp,image,true_label,predicted_label,prob_cat,prob_dog,server_latency_ms,client_latency_ms,correct
2026-08-29T08:19:50.428515+00:00,cat.4009.jpg,cat,cat,0.5539,0.4461,17.59,41.64,True
2026-08-29T08:19:50.473685+00:00,cat.3817.jpg,cat,cat,0.5027,0.4973,15.29,44.66,True
2026-08-29T08:19:50.502446+00:00,cat.4597.jpg,cat,cat,0.5292,0.4708,16.55,28.7,True
2026-08-29T08:19:50.550623+00:00,dog.5271.jpg,dog,dog,0.3929,0.6071,12.5,46.57,True
2026-08-29T08:19:50.585335+00:00,dog.1809.jpg,dog,cat,0.5177,0.4823,16.75,35.04,False
2026-08-29T08:19:50.629457+00:00,dog.11017.jpg,dog,dog,0.3466,0.6534,17.18,42.62,True
2026-08-29T08:19:50.674539+00:00,cat.3697.jpg,cat,cat,0.5401,0.4599,15.64,44.87,True
2026-08-29T08:19:50.728844+00:00,cat.2285.jpg,cat,cat,0.6052,0.3948,21.92,53.45,True
2026-08-29T08:19:50.773110+00:00,dog.5171.jpg,dog,dog,0.0417,0.9583,22.05,43.62,True
2026-08-29T08:19:50.802865+00:00,cat.1264.jpg,cat,dog,0.3921,0.6079,16.72,29.91,False
2026-08-29T08:19:50.846918+00:00,dog.4044.jpg,dog,dog,0.4872,0.5128,18.6,43.38,True
2026-08-29T08:19:50.875511+00:00,cat.11823.jpg,cat,dog,0.4364,0.5636,12.59,26.75,False
2026-08-29T08:19:50.925959+00:00,dog.2572.jpg,dog,dog,0.1248,0.8752,21.19,50.16,True
2026-08-29T08:19:50.964763+00:00,cat.4559.jpg,cat,dog,0.4882,0.5118,20.93,37.95,False
2026-08-29T08:19:51.009313+00:00,cat.11508.jpg,cat,dog,0.4945,0.5055,13.58,44.95,False
2026-08-29T08:19:51.069819+00:00,dog.4374.jpg,dog,dog,0.2824,0.7176,23.24,59.02,True
2026-08-29T08:19:51.108278+00:00,dog.5151.jpg,dog,cat,0.7063,0.2937,18.17,38.32,False
2026-08-29T08:19:51.150620+00:00,cat.234.jpg,cat,cat,0.615,0.385,13.29,41.28,True
2026-08-29T08:19:51.194026+00:00,dog.2303.jpg,dog,cat,0.5305,0.4695,11.83,42.97,False
2026-08-29T08:19:51.230595+00:00,cat.3037.jpg,cat,dog,0.4413,0.5587,16.34,35.64,False
2026-08-29T08:19:51.258818+00:00,cat.1856.jpg,cat,dog,0.4909,0.5091,18.24,28.23,False
2026-08-29T08:19:51.288060+00:00,dog.3670.jpg,dog,dog,0.4723,0.5277,16.18,28.55,True
2026-08-29T08:19:51.310737+00:00,cat.1648.jpg,cat,dog,0.488,0.512,13.47,23.15,False
2026-08-29T08:19:51.346205+00:00,cat.5473.jpg,cat,dog,0.4406,0.5594,10.12,34.22,False
2026-08-29T08:19:51.382015+00:00,dog.12310.jpg,dog,cat,0.5119,0.4881,10.71,34.63,False
2026-08-29T08:19:51.430677+00:00,cat.10597.jpg,cat,cat,0.5342,0.4658,15.66,47.85,True
2026-08-29T08:19:51.473266+00:00,dog.4858.jpg,dog,dog,0.3083,0.6917,11.99,42.26,True
2026-08-29T08:19:51.526537+00:00,cat.5191.jpg,cat,dog,0.33,0.67,17.92,53.16,False
2026-08-29T08:19:51.565145+00:00,dog.4423.jpg,dog,cat,0.5446,0.4554,11.75,37.28,False
2026-08-29T08:19:51.621980+00:00,dog.10754.jpg,dog,dog,0.4428,0.5572,19.7,56.11,True
2026-08-29T08:19:51.663075+00:00,dog.2953.jpg,dog,dog,0.4628,0.5372,16.69,40.01,True
2026-08-29T08:19:51.701231+00:00,dog.1025.jpg,dog,dog,0.3878,0.6122,9.64,38.5,True
2026-08-29T08:19:51.738144+00:00,cat.2065.jpg,cat,cat,0.5272,0.4728,13.66,36.45,True
2026-08-29T08:19:51.800926+00:00,cat.4828.jpg,cat,cat,0.7254,0.2746,26.54,61.5,True
2026-08-29T08:19:51.847849+00:00,cat.4914.jpg,cat,dog,0.4782,0.5218,13.91,45.75,False
2026-08-29T08:19:51.894391+00:00,dog.11055.jpg,dog,dog,0.288,0.712,15.67,46.08,True
2026-08-29T08:19:51.944399+00:00,cat.10985.jpg,cat,dog,0.309,0.691,18.03,48.54,False
2026-08-29T08:19:51.980829+00:00,dog.10869.jpg,dog,dog,0.4052,0.5948,9.22,36.09,True
2026-08-29T08:19:52.002190+00:00,dog.4100.jpg,dog,cat,0.5132,0.4868,9.86,20.85,False
2026-08-29T08:19:52.056653+00:00,dog.10054.jpg,dog,cat,0.5098,0.4902,21.62,54.19,False
